<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20240912,100000,95840,95940,95710,95810,47
20240912,100100,95860,95920,95820,95910,32
20240912,100200,95840,95890,95830,95870,11
20240912,100300,95860,95860,95770,95770,3
20240912,100400,95750,95820,95750,95820,2
20240912,100500,95770,95770,95730,95750,5
20240912,100600,95760,95760,95710,95710,8
20240912,100700,95660,95660,95660,95660,1
20240912,100800,95760,95760,95760,95760,1
20240912,100900,95800,95810,95790,95810,3
20240912,101100,95740,95740,95680,95680,7
20240912,101200,95680,95680,95650,95650,6
20240912,101300,95640,95640,95600,95600,5
20240912,101400,95640,95710,95630,95680,19
20240912,101500,95730,95740,95680,95690,9
20240912,101600,95730,95840,95730,95840,10
20240912,101700,95830,95830,95770,95770,9
20240912,101800,95760,95810,95680,95680,13
20240912,101900,95730,95730,95710,95710,3
20240912,102000,95700,95700,95700,95700,2
20240912,102100,95710,95710,95650,95650,6
20240912,102200,95690,95730,95690,95730,13
20240912,102300,95670,95680,95670,95680,5
20240912,102400,95700,95730,95700,95700,9
20240912,102500,95650,95650,95620,95620,4
20240912,102600,95600,95600,95600,95600,1
20240912,102700,95690,95690,95690,95690,1
20240912,102800,95640,95700,95640,95700,9
20240912,102900,95700,95700,95700,95700,3
20240912,103000,95650,95650,95650,95650,1
20240912,103200,95700,95700,95700,95700,4
20240912,103300,95610,95610,95610,95610,3
20240912,103400,95630,95630,95600,95600,2
20240912,103500,95600,95600,95600,95600,1
20240912,103600,95590,95590,95500,95510,21
20240912,103700,95500,95510,95480,95480,4
20240912,103800,95520,95520,95520,95520,4
20240912,103900,95480,95520,95480,95500,7
20240912,104000,95480,95480,95460,95460,8
20240912,104100,95450,95450,95430,95430,7
20240912,104200,95430,95430,95430,95430,2
20240912,104300,95410,95410,95410,95410,1
20240912,104400,95450,95450,95380,95380,8
20240912,104500,95340,95340,95340,95340,1
20240912,104600,95360,95360,95300,95300,5
20240912,104700,95340,95340,95270,95270,5
20240912,104800,95330,95330,95210,95230,16
20240912,104900,95200,95200,95150,95150,50
20240912,105000,95100,95110,95100,95110,3
20240912,105100,95160,95160,95160,95160,1
20240912,105200,95170,95170,95050,95050,6
20240912,105300,95060,95060,95000,95010,37
20240912,105400,95010,95040,95000,95000,31
20240912,105600,95060,95060,95060,95060,1
20240912,105700,95010,95020,95010,95010,35
20240912,105800,95010,95010,94960,95010,59
20240912,105900,95100,95120,95090,95110,14
20240912,110000,95070,95080,94970,94970,34
20240912,110100,95010,95040,94990,94990,12
20240912,110200,95010,95010,94970,94970,11
20240912,110300,94970,94970,94970,94970,4
20240912,110400,94970,95030,94970,95000,20
20240912,110500,95050,95050,95050,95050,1
20240912,110600,95100,95110,95100,95110,2
20240912,110700,95140,95210,95140,95210,12
20240912,110800,95220,95220,95180,95180,2
20240912,110900,95220,95290,95220,95290,6
20240912,111000,95220,95220,95200,95200,3
20240912,111100,95180,95180,95180,95180,1
20240912,111200,95220,95220,95220,95220,1
20240912,111300,95140,95150,95140,95150,4
20240912,111500,95180,95180,95100,95130,15
20240912,111800,95130,95150,95130,95150,2
20240912,111900,95130,95130,95130,95130,2
20240912,112000,95130,95130,95070,95070,11
20240912,112100,95040,95040,94960,94960,14
20240912,112200,94980,94990,94960,94980,45
20240912,112300,94970,94980,94960,94970,13
20240912,112400,94970,94970,94950,94950,8
20240912,112600,94990,94990,94980,94980,2
20240912,112800,94970,94990,94950,94950,7
20240912,112900,94950,95020,94940,94990,10
20240912,113000,95000,95000,94930,94960,17
20240912,113200,94900,94900,94850,94850,5
20240912,113300,94880,94880,94800,94820,15
20240912,113400,94780,94780,94760,94760,5
20240912,113500,94760,94810,94740,94740,15
20240912,113700,94740,94740,94710,94710,17
20240912,113900,94790,94810,94790,94810,2
20240912,114000,94790,94830,94790,94830,12
20240912,114100,94840,94840,94790,94790,3
20240912,114200,94810,94810,94810,94810,1
20240912,114300,94810,94810,94790,94810,16
20240912,114400,94850,94850,94790,94790,6
20240912,114500,94800,94800,94720,94720,16
20240912,114700,94870,94870,94870,94870,1
20240912,114800,94820,94840,94800,94830,8
20240912,114900,94820,94820,94820,94820,1
20240912,115000,94790,94820,94790,94820,4
20240912,115100,94790,94810,94790,94810,14
20240912,115200,94790,94790,94790,94790,1
20240912,115300,94800,94830,94790,94830,14
20240912,115400,94830,94830,94790,94810,19
20240912,115500,94810,94810,94780,94780,60
20240912,115600,94780,94780,94730,94730,28
20240912,115700,94760,94760,94710,94710,2
20240912,115800,94770,94770,94770,94770,1
20240912,115900,94750,94750,94740,94740,12
20240912,120000,94760,94800,94750,94750,24
20240912,120100,94850,94850,94780,94820,15
20240912,120200,94850,94850,94820,94850,14
20240912,120300,94840,94860,94820,94820,14
20240912,120400,94840,94900,94840,94900,4
20240912,120500,94900,94900,94870,94870,5
20240912,120600,94860,94890,94850,94850,14
20240912,120700,94850,94900,94850,94900,28
20240912,120800,94860,94860,94860,94860,2
20240912,120900,94870,94870,94850,94850,7
20240912,121000,94890,94920,94890,94920,20
20240912,121100,94950,94950,94950,94950,1
20240912,121200,94910,94970,94910,94970,29
20240912,121300,94980,94980,94980,94980,1
20240912,121400,94960,94960,94960,94960,2
20240912,121500,94880,94880,94860,94860,8
20240912,121600,94930,94940,94930,94940,3
20240912,121700,94860,94860,94850,94850,8
20240912,121800,94850,94850,94850,94850,48
20240912,121900,94850,94890,94850,94860,53
20240912,122000,94860,94870,94860,94860,23
20240912,122100,94860,94860,94860,94860,44
20240912,122200,94860,94880,94860,94880,6
20240912,122300,94860,94980,94860,94910,27
20240912,122400,94910,94910,94860,94890,16
20240912,122500,94860,94880,94850,94880,7
20240912,122600,94850,94850,94850,94850,15
20240912,122700,94870,94870,94870,94870,2
20240912,123000,94890,94890,94830,94830,39
20240912,123100,94830,94830,94820,94820,11
20240912,123200,94830,94870,94830,94870,3
20240912,123300,94920,94920,94920,94920,1
20240912,123500,94910,94920,94860,94920,9
20240912,123600,94880,94880,94880,94880,2
20240912,123700,94840,94840,94830,94830,12
20240912,123800,94820,94820,94820,94820,26
20240912,123900,94820,94820,94820,94820,43
20240912,124000,94820,94820,94820,94820,2
20240912,124300,94820,94820,94720,94740,15
20240912,124400,94740,94740,94720,94740,15
20240912,124500,94780,94780,94780,94780,2
20240912,124700,94790,94790,94770,94770,2
20240912,124800,94770,94770,94760,94760,3
20240912,125200,94850,94880,94850,94880,4
20240912,125500,94900,94900,94900,94900,2
20240912,125700,94910,94980,94910,94980,5
20240912,125900,94860,94860,94860,94860,2
20240912,130000,94850,94850,94770,94770,23
20240912,130100,94740,94740,94740,94740,1
20240912,130200,94720,94740,94720,94740,31
20240912,130600,94790,94790,94780,94780,11
20240912,130800,94710,94710,94710,94710,10
20240912,130900,94700,94700,94670,94670,12
20240912,131000,94670,94680,94670,94680,18
20240912,131100,94670,94670,94670,94670,1
20240912,131200,94680,94680,94590,94600,18
20240912,131300,94620,94630,94560,94610,32
20240912,131400,94580,94580,94580,94580,1
20240912,131500,94600,94620,94600,94620,2
20240912,131700,94620,94620,94620,94620,1
20240912,131900,94700,94700,94700,94700,6
20240912,132000,94710,94710,94710,94710,3
20240912,132200,94700,94700,94690,94690,7
20240912,132300,94680,94680,94680,94680,1
20240912,132500,94680,94680,94680,94680,1
20240912,132600,94700,94710,94700,94710,17
20240912,132800,94700,94710,94700,94710,9
20240912,133000,94670,94670,94570,94610,41
20240912,133100,94590,94600,94590,94600,3
20240912,133200,94560,94560,94550,94550,14
20240912,133300,94520,94550,94490,94550,23
20240912,133400,94550,94560,94510,94560,5
20240912,133500,94550,94570,94490,94570,13
20240912,134200,94720,94720,94700,94700,4
20240912,134400,94690,94690,94690,94690,1
20240912,134500,94730,94770,94670,94770,20
20240912,134800,94750,94750,94750,94750,1
20240912,134900,94740,94740,94740,94740,1
20240912,135000,94740,94740,94740,94740,1
20240912,135100,94740,94740,94740,94740,1
20240912,135600,94740,94780,94740,94780,4
20240912,135700,94770,94800,94770,94800,2
20240912,140500,94850,94910,94840,94910,8
20240912,140600,94840,94840,94760,94760,13
20240912,140700,94850,94850,94850,94850,2
20240912,140800,94780,94780,94680,94770,14
20240912,140900,94760,94770,94700,94750,4
20240912,141100,94800,94800,94800,94800,5
20240912,141200,94800,94800,94790,94790,5
20240912,141300,94750,94750,94750,94750,1
20240912,141400,94730,94730,94730,94730,5
20240912,141500,94720,94720,94690,94690,7
20240912,141600,94700,94750,94700,94750,2
20240912,141800,94860,94920,94860,94920,2
20240912,141900,94980,94980,94940,94940,2
20240912,142000,94990,95100,94990,95100,25
20240912,142100,95030,95030,95030,95030,1
20240912,142200,95060,95070,95060,95070,2
20240912,142300,95090,95130,95090,95130,12
20240912,142400,95100,95100,95090,95090,2
20240912,142500,95120,95140,95120,95140,2
20240912,142600,95140,95140,95100,95100,3
20240912,142700,95110,95110,95110,95110,4
20240912,142800,95110,95110,95070,95070,15
20240912,142900,95060,95060,95010,95010,9
20240912,143000,94980,94980,94930,94930,2
20240912,143100,94930,94930,94920,94920,2
20240912,143200,94870,94890,94870,94890,3
20240912,143300,94870,94880,94870,94870,3
20240912,143400,94880,94950,94880,94950,3
20240912,143500,94940,94980,94940,94960,3
20240912,143700,95060,95060,94990,94990,31
20240912,143800,95020,95070,94990,94990,34
20240912,143900,94990,95010,94990,94990,25
20240912,144000,95010,95010,94990,94990,10
20240912,144100,94990,95000,94940,94940,132
20240912,144200,94950,94950,94940,94940,5
20240912,144300,94960,94960,94930,94930,8
20240912,144400,94980,94980,94980,94980,1
20240912,144700,94910,94910,94910,94910,2
20240912,144900,94920,94920,94920,94920,1
20240912,145000,94920,94920,94890,94890,3
20240912,145300,94940,94940,94940,94940,1
20240912,145400,94950,94950,94950,94950,1
20240912,145700,94890,94890,94850,94850,27
20240912,145800,94870,94910,94870,94910,3
20240912,145900,94910,94930,94850,94850,27
20240912,150000,94870,94870,94850,94850,17
20240912,150600,95000,95070,95000,95070,23
20240912,150700,95050,95050,95020,95050,6
20240912,150800,94980,94980,94980,94980,2
20240912,150900,95040,95050,95040,95050,3
20240912,151700,95070,95070,95070,95070,1
20240912,151800,95060,95080,95050,95050,18
20240912,152000,95050,95050,95050,95050,1
20240912,152200,95050,95050,95050,95050,1
20240912,152400,95020,95020,95020,95020,1
20240912,152600,95030,95030,94860,94860,14
20240912,152700,94860,94880,94830,94830,55
20240912,152800,94800,94800,94750,94780,12
20240912,152900,94810,94810,94770,94770,7
20240912,153000,94800,94800,94780,94780,4
20240912,153100,94730,94730,94730,94730,1
20240912,153300,94790,94800,94790,94800,10
20240912,153500,94750,94750,94750,94750,25
20240912,153600,94750,94750,94750,94750,24
20240912,153700,94750,94750,94750,94750,1
20240912,153800,94680,94680,94610,94610,20
20240912,153900,94600,94600,94600,94600,2
20240912,154000,94600,94610,94600,94610,11
20240912,154100,94610,94620,94600,94600,139
20240912,154200,94600,94660,94590,94630,12
20240912,154300,94640,94670,94620,94670,7
20240912,154400,94670,94670,94670,94670,1
20240912,154600,94670,94760,94670,94740,9
20240912,154700,94730,94740,94730,94740,3
20240912,154900,94680,94680,94680,94680,2
20240912,155100,94600,94600,94530,94530,9
20240912,155200,94520,94530,94500,94500,24
20240912,155300,94500,94510,94410,94420,34
20240912,155400,94430,94430,94370,94400,8
20240912,155500,94450,94450,94450,94450,2
20240912,155600,94420,94450,94400,94450,20
20240912,155700,94440,94490,94440,94440,36
20240912,155900,94400,94400,94370,94370,6
20240912,160100,94450,94450,94450,94450,2
20240912,160300,94400,94400,94400,94400,2
20240912,160400,94450,94450,94450,94450,2
20240912,160500,94430,94490,94430,94440,10
20240912,160600,94470,94470,94470,94470,1
20240912,160700,94490,94490,94490,94490,1
20240912,160900,94490,94490,94490,94490,8
20240912,161100,94370,94450,94370,94450,4
20240912,161200,94450,94450,94450,94450,2
20240912,161300,94430,94430,94360,94360,19
20240912,161600,94360,94360,94360,94360,3
20240912,161700,94340,94420,94330,94420,8
20240912,161800,94430,94430,94400,94400,4
20240912,161900,94450,94510,94450,94480,27
20240912,162000,94510,94510,94500,94500,3
20240912,162100,94470,94470,94470,94470,11
20240912,162200,94470,94470,94470,94470,2
20240912,162300,94450,94450,94420,94420,3
20240912,162700,94410,94410,94370,94370,5
20240912,162800,94340,94340,94310,94310,6
20240912,162900,94370,94370,94370,94370,1
20240912,163000,94390,94390,94270,94370,30
20240912,163100,94470,94470,94450,94450,2
20240912,163200,94410,94450,94410,94450,4
20240912,163300,94420,94450,94420,94450,2
20240912,163400,94420,94430,94420,94430,8
20240912,163800,94360,94360,94350,94350,3
20240912,163900,94350,94350,94350,94350,1
20240912,164000,94330,94330,94300,94300,3
20240912,164600,94430,94430,94420,94420,6
20240912,164700,94450,94480,94450,94480,7
20240912,164800,94420,94420,94390,94390,4
20240912,164900,94440,94440,94420,94420,15
20240912,165100,94360,94360,94360,94360,1
20240912,165200,94340,94340,94330,94330,2
20240912,165300,94300,94300,94250,94250,19
20240912,165400,94250,94250,94240,94250,5
20240912,165600,94230,94230,94130,94230,44
20240912,170000,94350,94360,94350,94360,2
20240912,170100,94340,94350,94340,94350,2
20240912,170200,94360,94410,94340,94370,24
20240912,170300,94360,94370,94360,94370,2
20240912,170500,94450,94500,94450,94470,9
20240912,170600,94430,94430,94360,94360,6
20240912,170700,94390,94390,94350,94350,3
20240912,170900,94450,94550,94450,94550,19
20240912,171600,94550,94560,94550,94550,3
20240912,172100,94620,94620,94620,94620,1
20240912,172200,94660,94670,94660,94670,3
20240912,172300,94650,94650,94650,94650,1
20240912,172400,94640,94640,94640,94640,1
20240912,172500,94610,94610,94610,94610,5
20240912,172700,94560,94560,94550,94550,3
20240912,172800,94540,94600,94540,94600,6
20240912,173000,94530,94550,94530,94540,4
20240912,173200,94570,94570,94570,94570,2
20240912,173400,94540,94540,94540,94540,1
20240912,173500,94560,94560,94560,94560,1
20240912,173600,94530,94530,94490,94500,9
20240912,173800,94360,94360,94360,94360,1
20240912,173900,94350,94350,94350,94350,2
20240912,174000,94400,94400,94400,94400,5
20240912,174100,94260,94260,94200,94200,18
20240912,174200,94170,94170,94160,94160,2
20240912,174300,94220,94220,94220,94220,5
20240912,174400,94250,94290,94250,94290,5
20240912,174500,94280,94280,94210,94210,14
20240912,174700,94300,94310,94300,94310,2
20240912,175200,94320,94320,94320,94320,1
20240912,175300,94380,94390,94380,94390,2
20240912,175500,94410,94410,94410,94410,1
20240912,175600,94350,94350,94350,94350,1
20240912,175700,94480,94480,94480,94480,1
20240912,175800,94450,94470,94450,94470,2
20240912,180000,94360,94450,94350,94450,16
20240912,180300,94450,94450,94410,94410,3
20240912,180400,94410,94410,94410,94410,8
20240912,180700,94390,94420,94390,94400,3
20240912,180800,94340,94360,94340,94360,2
20240912,180900,94300,94300,94230,94230,4
20240912,181000,94280,94290,94280,94290,2
20240912,181100,94240,94240,94210,94210,5
20240912,181300,94300,94330,94290,94330,7
20240912,181400,94340,94340,94340,94340,1
20240912,181600,94400,94410,94400,94410,3
20240912,181800,94370,94400,94370,94400,5
20240912,181900,94400,94400,94400,94400,13
20240912,182000,94400,94400,94400,94400,3
20240912,182100,94410,94410,94410,94410,2
20240912,182200,94440,94490,94430,94450,46
20240912,182300,94460,94460,94460,94460,4
20240912,182400,94460,94500,94460,94500,29
20240912,182500,94460,94460,94450,94450,10
20240912,182700,94470,94470,94470,94470,4
20240912,182800,94460,94460,94460,94460,1
20240912,182900,94480,94480,94480,94480,1
20240912,183000,94450,94520,94450,94520,9
20240912,183100,94500,94600,94500,94600,31
20240912,183200,94540,94540,94540,94540,1
20240912,183400,94500,94500,94430,94430,2
20240912,183500,94460,94460,94460,94460,1
20240912,183600,94500,94520,94500,94520,4
20240912,183700,94510,94510,94510,94510,1
20240912,184000,94470,94470,94450,94450,3
20240912,184100,94480,94480,94450,94450,3
20240912,184300,94400,94400,94400,94400,1
20240912,184400,94460,94460,94460,94460,1
20240912,184800,94460,94510,94460,94500,29
20240912,184900,94450,94450,94450,94450,1
20240912,190500,94520,94520,94380,94380,2
20240912,190600,94380,94380,94360,94360,2
20240912,190700,94320,94320,94250,94300,10
20240912,190800,94300,94300,94300,94300,3
20240912,190900,94300,94300,94300,94300,9
20240912,191000,94310,94310,94310,94310,4
20240912,191100,94290,94290,94260,94260,6
20240912,191200,94220,94220,94200,94200,5
20240912,191300,94230,94230,94230,94230,2
20240912,191500,94230,94280,94230,94280,9
20240912,191700,94270,94270,94270,94270,2
20240912,191800,94250,94250,94250,94250,4
20240912,191900,94250,94290,94230,94240,17
20240912,192000,94280,94290,94280,94290,4
20240912,192100,94270,94280,94270,94280,4
20240912,192200,94240,94240,94240,94240,1
20240912,192300,94280,94300,94260,94300,21
20240912,192400,94280,94280,94200,94200,54
20240912,192500,94200,94200,94200,94200,3
20240912,192700,94190,94200,94190,94200,14
20240912,192800,94200,94200,94200,94200,15
20240912,192900,94200,94200,94200,94200,7
20240912,193000,94200,94300,94200,94250,39
20240912,193300,94240,94240,94200,94200,2
20240912,193500,94210,94210,94200,94200,3
20240912,193600,94220,94230,94220,94230,5
20240912,193800,94280,94280,94280,94280,1
20240912,194700,94190,94190,94140,94140,5
20240912,194800,94140,94140,94140,94140,1
20240912,194900,94130,94190,94130,94190,3
20240912,195000,94150,94150,94130,94130,5
20240912,195200,94130,94130,94130,94130,2
20240912,195400,94130,94130,94130,94130,1
20240912,195900,94150,94150,94110,94110,21
20240912,200800,94210,94230,94210,94230,8
20240912,201900,94240,94240,94240,94240,8
20240912,202000,94240,94240,94240,94240,1
20240912,202100,94240,94240,94240,94240,2
20240912,202200,94240,94240,94240,94240,1
20240912,202300,94240,94240,94240,94240,1
20240912,202400,94240,94240,94220,94220,2
20240912,202500,94210,94220,94210,94220,5
20240912,202800,94240,94250,94230,94250,4
20240912,203100,94280,94290,94280,94290,3
20240912,203300,94270,94300,94270,94300,31
20240912,203400,94300,94370,94300,94370,67
20240912,203600,94290,94350,94290,94350,6
20240912,203700,94380,94380,94380,94380,2
20240912,203900,94380,94400,94380,94400,13
20240912,204000,94400,94400,94390,94390,7
20240912,204100,94380,94380,94370,94370,2
20240912,204300,94390,94400,94390,94400,4
20240912,204400,94400,94450,94400,94450,17
20240912,204500,94440,94440,94440,94440,2
20240912,205000,94450,94470,94450,94470,2
20240912,205200,94520,94550,94520,94550,5
20240912,205400,94530,94530,94530,94530,1
20240912,205500,94470,94550,94470,94550,8
20240912,205600,94510,94510,94510,94510,1
20240912,205700,94550,94550,94550,94550,1
20240912,205800,94560,94630,94530,94600,25
20240912,210000,94600,94620,94510,94530,18
20240912,210100,94600,94610,94590,94610,14
20240912,210300,94640,94650,94640,94650,3
20240912,210400,94650,94650,94650,94650,1
20240912,210600,94650,94650,94650,94650,1
20240912,210700,94700,94760,94680,94700,14
20240912,210900,94740,94780,94740,94780,2
20240912,211100,94750,94770,94750,94770,6
20240912,211200,94750,94770,94750,94770,3
20240912,211300,94740,94740,94740,94740,1
20240912,211600,94700,94700,94700,94700,1
20240912,212000,94750,94750,94750,94750,1
20240912,212400,94750,94750,94750,94750,1
20240912,212700,94740,94740,94740,94740,1
20240912,212800,94740,94750,94740,94750,3
20240912,212900,94750,94750,94750,94750,3
20240912,213000,94760,94980,94760,94980,38
20240912,213200,94970,94970,94970,94970,1
20240912,213500,95000,95000,95000,95000,4
20240912,213600,95020,95080,95020,95080,20
20240912,213700,95060,95080,95060,95070,11
20240912,213900,95000,95000,94950,94950,17
20240912,214000,94920,95040,94920,95030,12
20240912,214400,94890,94890,94890,94890,2
20240912,214500,94800,94800,94750,94750,9
20240912,214700,94790,94790,94790,94790,1
20240912,214900,94830,94830,94830,94830,2
20240912,220500,94790,94790,94730,94730,8
20240912,220600,94820,94830,94820,94830,4
20240912,220700,94850,94850,94850,94850,1
20240912,222200,94820,94820,94820,94820,1
20240912,222600,94850,94850,94850,94850,2
20240912,222700,94850,94850,94850,94850,6
20240912,222800,94850,94850,94850,94850,3
20240912,222900,94850,94850,94850,94850,1
20240912,223100,94840,94890,94770,94890,30
20240912,224100,94890,94890,94890,94890,4
20240912,224300,94890,94900,94890,94900,7
20240912,224400,94960,94960,94960,94960,1
20240912,224800,94920,94920,94920,94920,1
20240912,225700,94900,94900,94900,94900,1
20240912,225800,94910,94910,94910,94910,1
20240912,230500,94970,94970,94970,94970,1
20240912,231200,94910,94910,94910,94910,2
20240912,231600,94910,94910,94910,94910,2
20240912,231800,94920,94920,94920,94920,1
20240912,232300,94950,94990,94950,94990,9
20240912,232500,95000,95030,95000,95030,5
20240912,232600,95050,95060,95050,95060,3
20240912,233100,95040,95040,95040,95040,1
20240912,233200,95030,95030,95030,95030,1
20240912,233600,95030,95030,95030,95030,2
20240912,233700,95030,95030,95030,95030,3
20240912,233900,95030,95060,95030,95060,3
20240912,234400,95020,95020,95020,95020,1
20240912,234700,94990,94990,94990,94990,1
20240913,100000,95000,95010,94880,95000,25
20240913,100100,94830,94880,94830,94830,4
20240913,100200,94820,94840,94770,94780,10
20240913,100300,94730,94850,94730,94800,20
20240913,100400,94850,94850,94850,94850,2
20240913,100500,94870,94880,94870,94880,4
20240913,100600,94870,94880,94830,94840,12
20240913,100700,94800,94800,94800,94800,1
20240913,100800,94750,94750,94740,94740,3
20240913,100900,94740,94790,94740,94770,9
20240913,101000,94730,94730,94730,94730,1
20240913,101100,94700,94700,94700,94700,1
20240913,101200,94700,94730,94690,94700,10
20240913,101300,94800,94810,94800,94810,7
20240913,101400,94830,94880,94820,94880,3
20240913,101500,94980,95120,94980,95050,20
20240913,101600,95080,95120,95060,95120,11
20240913,101700,95130,95320,95130,95160,109
20240913,101800,95180,95210,95180,95210,19
20240913,101900,95210,95220,95180,95220,8
20240913,102000,95210,95220,95200,95220,19
20240913,102100,95220,95220,95220,95220,15
20240913,102200,95220,95400,95220,95400,93
20240913,102300,95360,95420,95350,95360,7
20240913,102400,95350,95400,95350,95400,4
20240913,102500,95350,95350,95350,95350,1
20240913,102600,95410,95420,95370,95370,18
20240913,102700,95420,95420,95390,95390,19
20240913,102800,95380,95380,95380,95380,2
20240913,102900,95300,95300,95290,95290,2
20240913,103000,95280,95320,95280,95310,8
20240913,103100,95360,95360,95360,95360,2
20240913,103200,95370,95390,95350,95390,6
20240913,103300,95400,95420,95400,95420,13
20240913,103400,95350,95390,95340,95340,3
20240913,103500,95300,95300,95240,95240,10
20240913,103600,95220,95230,95220,95230,2
20240913,103700,95230,95290,95230,95290,3
20240913,103800,95260,95270,95260,95270,8
20240913,103900,95350,95360,95350,95360,2
20240913,104000,95360,95360,95320,95320,7
